model_name,task_type,train_neg_mse,test_neg_mse,train_neg_mae,test_neg_mae,train_r2,test_r2,fit_time,score_time,train_f1_weighted,test_f1_weighted,train_accuracy,test_accuracy,train_roc_auc_ovr,test_roc_auc_ovr
Linear Regression,regression,2621579.4664752865,2660676.9325070553,1150.9832661120454,1159.7528218927305,0.988095077626142,0.9878201903743671,0.015308570861816407,0.0030216693878173826,,,,,,
Random Forest Regressor,regression,153209.4634088329,1082495.887567062,216.2044645500007,555.5410820999999,0.999301784224318,0.9951715275543049,0.24332838058471679,0.04379563331604004,,,,,,
Random Forest Regressor (Tuned),regression,247780.98032235983,1131548.2280271961,270.03300782348106,572.4714225740008,0.9988724327245844,0.994940113701287,0.23641614913940429,0.046382713317871097,,,,,,
XGBoost Regressor,regression,1446.5684998460065,1032801.1019044623,26.52413632812499,634.3618252343751,0.9999934590524475,0.9953119530214991,0.1213841438293457,0.010933876037597656,,,,,,
XGBoost Regressor (Tuned),regression,113407.18260910668,607460.627075688,259.7336716796875,537.394680390625,0.9994852298235786,0.9972252381302209,0.0718644142150879,0.004879951477050781,,,,,,
Random Forest Classifier,classification,,,,,,,0.20763330459594725,0.10393943786621093,1.0,0.9849587475633527,1.0,0.986,1.0,0.998900243364303
Random Forest Classifier (Tuned),classification,,,,,,,0.1225153923034668,0.09303302764892578,1.0,0.9939342253157359,1.0,0.994,1.0,0.9991343116991299
XGBoost Classifier,classification,,,,,,,0.054253435134887694,0.011310863494873046,1.0,0.9959630478173327,1.0,0.9960000000000001,1.0,0.9986246168956783
XGBoost Classifier (Tuned),classification,,,,,,,0.1069974422454834,0.011130332946777344,1.0,0.9959630478173327,1.0,0.9960000000000001,1.0,0.9994684515515413
